Site ID,Channel,Campaign Name,Country,Spend,Installs,IPM,CPI,D1 Total Revenue,D3 Total Revenue,D7 IAP Revenue,,D1 Total ROAS,D3 Total ROAS,D7 Total ROAS
262281,IronSource,nk_a16_is_01,US,67.15,79,11.131464,0.85,8.1609,13.4284,20.2598,6.986,0.12153239,0.199976173,0.301709605
53174,IronSource,nk_a16_is_01,US,66.95,80,12.24177506,0.836875,12.5503,17.9998,20.0299,13.972,0.187457804,0.268854369,0.299176998
231525,IronSource,nk_a16_is_01,US,66.73,78,19.09424725,0.855512821,15.7598,20.1,29.9602,18.858,0.236172636,0.301213847,0.448976472
154187,IronSource,nk_a16_is_01,US,65.39,78,21.07538503,0.838333333,4.1696,9.4801,12.3897,9.065,0.063765102,0.144977825,0.189473926
251595,IronSource,nk_a16_is_01,US,65.3,77,19.06884596,0.848051948,13.2998,30.17,34.1198,25.116,0.203672282,0.46202144,0.522508423
212461,IronSource,nk_a16_is_01,US,64.84,79,23.37278107,0.820759494,11.0801,21.5203,27.94,10.479,0.170883714,0.331898519,0.430906848
173859,IronSource,nk_a16_is_01,US,64.4,78,14.17924014,0.825641026,5.3398,12.7397,22.7202,16.751,0.082916149,0.197821429,0.352798137
168587,IronSource,nk_a16_is_01,US,64.2,78,11.07482607,0.823076923,13.0101,17.1905,24.8508,17.465,0.202649533,0.267764798,0.387084112
161531,IronSource,nk_a16_is_01,US,61.85,73,15.53191489,0.847260274,3.6203,6.0702,9.4601,1.386,0.058533549,0.098143897,0.152952304
264205,IronSource,nk_a16_is_01,US,61.2,72,18.55191961,0.85,5.4493,7.3313,8.7897,1.393,0.08904085,0.119792484,0.143622549
260379,IronSource,nk_a16_is_01,US,60.75,76,18.92901619,0.799342105,9.4005,12.2407,13.7513,8.379,0.154740741,0.201493004,0.226358848
191205,IronSource,nk_a16_is_01,US,60.72,74,25.66770725,0.820540541,4.6898,14.5102,19.0796,3.493,0.077236495,0.238969038,0.314222661
90583,IronSource,nk_a16_is_01,US,59.94,73,15.21467278,0.82109589,3.6898,6.2701,9.1202,0,0.061558225,0.104606273,0.152155489
95077,IronSource,nk_a16_is_01,US,58.25,71,27.60497667,0.820422535,16.6507,19.7105,21.7202,10.479,0.285848927,0.338377682,0.37287897
144399,IronSource,nk_a16_is_01,US,57.85,68,12.14285714,0.850735294,17.23,28.4899,29.8802,18.823,0.297839239,0.492478825,0.516511668
182511,IronSource,nk_a16_is_01,US,56.99,68,6.676485027,0.838088235,8.2201,11.67,13.8602,5.572,0.144237586,0.204772767,0.243204071
213733,IronSource,nk_a16_is_01,US,55.9,67,16.46596215,0.834328358,6.9401,13.1799,15.3,11.172,0.124152057,0.235776386,0.273703041
110455,IronSource,nk_a16_is_01,US,55.3,67,14.76746749,0.825373134,3.18,7.9303,9.6706,4.186,0.057504521,0.143405063,0.174875226
83051,IronSource,nk_a16_is_01,US,54.45,65,8.047542404,0.837692308,5.2303,9.3701,17.7203,8.372,0.096056933,0.172086318,0.32544169
252727,IronSource,nk_a16_is_01,US,53.1,66,12.95387635,0.804545455,10.29,14.22,22.4001,17.465,0.193785311,0.26779661,0.421847458
248041,IronSource,nk_a16_is_01,US,52.55,63,8.684863524,0.834126984,8.2196,12.4199,14.88,6.986,0.156414843,0.236344434,0.283158896
109651,IronSource,nk_a16_is_01,US,51.88,59,10.43878273,0.879322034,29.26,38.2401,46.2999,38.395,0.563993832,0.73708751,0.892442174
148105,IronSource,nk_a16_is_01,US,51.7,64,12.19512195,0.8078125,11.4201,15.2397,17.8998,18.158,0.220891683,0.29477176,0.346224371
98123,IronSource,nk_a16_is_01,US,51.2,62,21.57272095,0.825806452,5.39,8.5198,9.6101,3.493,0.105273438,0.166402344,0.187697266
232393,IronSource,nk_a16_is_01,US,51.19,62,13.25919589,0.825645161,11.8001,18.1098,19.9899,6.986,0.230515726,0.353776128,0.390504005
246133,IronSource,nk_a16_is_01,US,49.21,62,10.46236922,0.793709677,18.3398,22.0399,25.7201,17.465,0.372684414,0.447874416,0.522660028
196245,IronSource,nk_a16_is_01,US,49.2,58,22.39382239,0.848275862,20.61,29.92,36.59,33.502,0.418902439,0.608130081,0.743699187
128335,IronSource,nk_a16_is_01,US,48,58,9.907755381,0.827586207,6.9201,14.85,17.8501,10.479,0.14416875,0.309375,0.371877083
256443,IronSource,nk_a16_is_01,US,44.25,55,23.14814815,0.804545455,2.3399,4.8301,6.6401,3.493,0.052879096,0.109154802,0.150058757
262747,IronSource,nk_a16_is_01,US,43.4,54,27.20403023,0.803703704,2.9601,4.9691,5.8996,0,0.068205069,0.114495392,0.135935484
